id,type,subtype2,subtype1,player1,player2,team,lon,lat,elapsed,elapsed_plus,game_id
467776,goal,shot,n,37804,30679,8455,NA,NA,53,NA,1758
477576,goal,shot,dg,27430,NA,10260,NA,NA,9,NA,1759
477652,goal,deflected,n,26181,NA,9825,NA,NA,22,NA,1759
477793,goal,distance,n,26181,30613,9825,NA,NA,48,NA,1759
478022,goal,shot,n,38994,NA,10260,NA,NA,90,NA,1759
479444,goal,shot,n,24635,30618,8650,NA,NA,34,NA,1760
479490,goal,shot,n,24635,34222,8650,NA,NA,43,NA,1760
479730,goal,shot,n,37442,37139,8650,NA,NA,90,3,1760
478161,goal,shot,n,33418,17866,8472,NA,NA,4,NA,1761
478689,goal,distance,n,40987,38820,8462,NA,NA,51,NA,1761
479097,goal,NA,p,30348,NA,8462,NA,NA,90,1,1761
478875,goal,shot,n,109898,24223,8654,NA,NA,63,NA,1762
479073,goal,header,n,33086,30735,8668,NA,NA,83,NA,1762
479090,goal,deflected,n,30735,25666,8668,NA,NA,85,NA,1762
479102,goal,distance,n,30735,30876,8668,NA,NA,87,NA,1762
481521,goal,shot,n,42183,NA,8549,NA,NA,34,NA,1763
481560,goal,header,n,23283,38807,10252,NA,NA,37,NA,1763
482570,goal,shot,n,42183,NA,8549,NA,NA,88,NA,1763
481298,goal,loose_ball,n,33974,30340,8456,NA,NA,16,NA,1764
481496,goal,shot,n,23949,31097,8586,NA,NA,29,NA,1764
482195,goal,shot,n,23949,30818,8586,NA,NA,64,NA,1764
480697,goal,deflected,n,37804,25925,8455,NA,NA,40,NA,1765
481020,goal,shot,n,37804,30631,8455,NA,NA,68,NA,1765
482197,goal,shot,n,31907,NA,9879,NA,NA,23,NA,1766
482842,goal,shot,n,24225,37799,10261,NA,NA,57,NA,1766
482919,goal,NA,p,30338,NA,9879,NA,NA,66,NA,1766
478703,goal,shot,n,24372,23783,8559,NA,NA,50,NA,1767
486869,goal,direct_freekick,n,30893,NA,10260,NA,NA,4,NA,1769
487579,goal,shot,n,34944,30893,10260,NA,NA,45,1,1769
487739,goal,shot,n,27430,38817,10260,NA,NA,49,NA,1769
488357,goal,distance,n,113836,111975,10260,NA,NA,84,NA,1769
488443,goal,direct_freekick,n,30893,NA,10260,NA,NA,89,NA,1769
487147,goal,saved,npm,23354,NA,10252,NA,NA,20,NA,1770
488099,goal,NA,o,31291,NA,9825,NA,NA,70,NA,1770
488254,goal,shot,n,23264,43280,10252,NA,NA,80,NA,1770
489911,goal,shot,n,24393,30892,8549,NA,NA,8,NA,1772
490636,goal,header,n,24160,24011,8668,NA,NA,65,NA,1772
486865,goal,distance,n,24890,NA,8528,NA,NA,3,NA,1773
